hemi,roi,trial_type,run,response,subject_label
l,SI-STS,face_noncom,1.5,-0.3256751514464791,sub-03
l,SI-STS,face_third,1.5,0.072639245954329,sub-03
l,SI-STS,ind,1.5,-0.089390093979338,sub-03
l,SI-STS,interact,1.5,0.3014273524961617,sub-03
l,SI-STS,noninteract,1.5,0.2345579916495355,sub-03
l,SI-STS,object,1.5,-0.2764193922677401,sub-03
l,SI-STS,photo,0.5,0.2172621959206335,sub-03
l,SI-STS,phy,1.5,-0.2789230300413383,sub-03
l,TPJ,belief,0.5,0.7307382603180579,sub-03
l,TPJ,body,0.5,-0.6457694815668711,sub-03
l,TPJ,com_ind,0.5,-0.2944955236399446,sub-03
l,TPJ,com_phy,0.5,-0.24027772096009,sub-03
l,TPJ,face_first,0.5,-0.0552127446251964,sub-03
l,TPJ,face_noncom,0.5,-0.1531319778720481,sub-03
l,TPJ,face_third,0.5,-0.3272125437971697,sub-03
l,TPJ,ind,0.5,-0.2994041015227699,sub-03
l,TPJ,interact,0.5,0.2383810053624216,sub-03
l,TPJ,noninteract,0.5,0.2346306273268162,sub-03
l,TPJ,object,0.5,-0.5544801504216872,sub-03
l,TPJ,photo,0.5,0.290709445655005,sub-03
l,TPJ,phy,0.5,-0.09154284092542,sub-03
l,fSTS,belief,0.5,1.2534365317000853,sub-03
l,fSTS,body,4.0,-0.6361202005186894,sub-03
l,fSTS,com_ind,4.0,-0.0126957582581986,sub-03
l,fSTS,com_phy,4.0,-0.2346950392131525,sub-03
l,fSTS,face_first,4.0,0.0557883631660856,sub-03
l,fSTS,face_noncom,4.0,-0.3588957021693061,sub-03
l,fSTS,face_third,4.0,-0.1200351543452001,sub-03
l,fSTS,ind,4.0,-0.2642018726388966,sub-03
l,fSTS,interact,1.5,-0.0243977184469568,sub-03
l,fSTS,noninteract,1.5,-0.0025267751777946,sub-03
l,fSTS,object,4.0,-0.2924182405538255,sub-03
l,fSTS,photo,0.5,1.2248006603520438,sub-03
l,fSTS,phy,4.0,-0.4822209110636589,sub-03
r,EBA,belief,0.5,-0.0833558284621751,sub-03
r,EBA,body,4.0,1.3040925258690246,sub-03
r,EBA,com_ind,4.0,1.5524391652688725,sub-03
r,EBA,com_phy,4.0,1.8283634402454785,sub-03
r,EBA,face_first,4.0,0.906276082533242,sub-03
r,EBA,face_noncom,4.0,0.8435348281625852,sub-03
r,EBA,face_third,4.0,1.032265276585344,sub-03
r,EBA,ind,4.0,1.150918182484909,sub-03
r,EBA,interact,1.5,1.5228618232184572,sub-03
r,EBA,noninteract,1.5,1.261120722664723,sub-03
r,EBA,object,4.0,0.5463526985263234,sub-03
r,EBA,photo,0.5,-0.1315692215750269,sub-03
r,EBA,phy,4.0,1.4617392597139132,sub-03
r,EVC,belief,0.5,0.4697884178549238,sub-03
r,EVC,body,4.0,1.846055423544035,sub-03
r,EVC,com_ind,4.0,3.353123708044345,sub-03
r,EVC,com_phy,4.0,2.881301881231916,sub-03
r,EVC,face_first,4.0,2.467533904687365,sub-03
r,EVC,face_noncom,4.0,1.9692273836735352,sub-03
r,EVC,face_third,4.0,2.429397881421548,sub-03
r,EVC,ind,4.0,3.0021313537600576,sub-03
r,EVC,interact,1.5,0.836247516937015,sub-03
r,EVC,noninteract,1.5,1.0197624711233708,sub-03
r,EVC,object,4.0,2.4552968809397893,sub-03
r,EVC,photo,0.5,0.4449142674220052,sub-03
r,EVC,phy,4.0,2.398567496380521,sub-03
r,FFA,belief,0.5,0.4239959866196268,sub-03
r,FFA,body,4.0,0.5679138750999848,sub-03
r,FFA,com_ind,4.0,1.3966715661996476,sub-03
r,FFA,com_phy,4.0,1.2662724455524734,sub-03
r,FFA,face_first,4.0,1.196569952063666,sub-03
r,FFA,face_noncom,4.0,0.8058480690330521,sub-03
r,FFA,face_third,4.0,1.117512412300461,sub-03
r,FFA,ind,4.0,1.098375334027356,sub-03
r,FFA,interact,1.5,0.7666235347370944,sub-03
r,FFA,noninteract,1.5,0.6948288219553356,sub-03
r,FFA,object,4.0,0.2535245854983144,sub-03
r,FFA,photo,0.5,0.3170840364087931,sub-03
r,FFA,phy,4.0,1.027247802550172,sub-03
r,MT,belief,0.5,0.4551793194643709,sub-03
r,MT,body,4.0,2.6786270671280983,sub-03
r,MT,com_ind,4.0,3.111288529186345,sub-03
r,MT,com_phy,4.0,3.0201573132678767,sub-03
r,MT,face_first,4.0,2.3446664039285805,sub-03
r,MT,face_noncom,4.0,2.134062619737461,sub-03
r,MT,face_third,4.0,2.30339072596516,sub-03
