subject,roi,hemi,n_voxels,pair,cond1,cond2,r_w1_reliability,r_w2_reliability,r_b_between,within_decoding_index
5,fSTS,r,91,face,face_first,face_noncom,0.9846376714671898,0.9483853093858208,0.8785594671625114,0.0879520232639938
5,FFA,r,107,dyad,com_ind,ind,0.6699834386722886,0.7062322235143627,0.6810851242800973,0.0070227068132283
5,FFA,r,107,face,face_first,face_noncom,0.8134701575755886,0.645395311451667,0.6373024482558607,0.092130286257767
5,EBA,r,152,dyad,com_ind,ind,0.8993789872164912,0.8388212718357074,0.85610076155664,0.0129993679694593
5,EBA,r,152,face,face_first,face_noncom,0.2266168130770048,0.882772776203351,0.3839869369519158,0.170707857688262
5,EVC,r,263,dyad,com_ind,ind,0.9715404491524502,0.9739748864623612,0.9701868108611597,0.0025708569462461
5,EVC,r,263,face,face_first,face_noncom,0.9681811304835388,0.878519631767359,0.9248235019955507,-0.0014731208701019
5,MT,r,165,dyad,com_ind,ind,0.910306648843977,0.8276750547477031,0.8789311783351061,-0.0099403265392661
5,MT,r,165,face,face_first,face_noncom,0.852453215915449,0.8719486287500824,0.8447275621633554,0.0174733601694102
7,SI-STS,l,204,dyad,com_ind,ind,0.7991818647194484,0.8752654687963143,0.8428673436108831,-0.0056436768530017
7,SI-STS,l,204,face,face_first,face_noncom,0.8551359356599539,0.8726492940725806,0.9095403155415028,-0.0456477006752353
7,TPJ,l,237,dyad,com_ind,ind,0.6829766354484483,0.8106986889736053,0.8431463741632947,-0.0963087119522678
7,TPJ,l,237,face,face_first,face_noncom,0.6902006383883719,0.5320091810669199,0.8381739725474604,-0.2270690628198145
7,fSTS,l,23,dyad,com_ind,ind,0.956494459873741,0.7222879156557651,0.8861011118924289,-0.0467099241276758
7,fSTS,l,23,face,face_first,face_noncom,0.9421457837363244,0.6584370240618149,0.8008243380297104,-0.0005329341306407
7,FFA,l,106,dyad,com_ind,ind,0.9153121506884347,0.947242434966255,0.9600771239729956,-0.0287998311456507
7,FFA,l,106,face,face_first,face_noncom,0.9814731049445804,0.9777207717056204,0.9638092698409368,0.0157876684841635
7,EBA,l,102,dyad,com_ind,ind,0.9334133221439066,0.804840189314985,0.8692855023063647,-0.0001587465769189
7,EBA,l,102,face,face_first,face_noncom,0.7572440103997806,0.9118933068480808,0.8549809308929919,-0.0204122722690611
7,EVC,l,249,dyad,com_ind,ind,0.941682586263049,0.8991893868347762,0.9249406005490648,-0.0045046140001521
7,EVC,l,249,face,face_first,face_noncom,0.94970798093762,0.9274296455027358,0.922416837018313,0.0161519762018649
7,MT,l,166,dyad,com_ind,ind,0.922650775643713,0.9729774131688786,0.9526687698230284,-0.0048546754167326
7,MT,l,166,face,face_first,face_noncom,0.956125457781296,0.9195391301431184,0.8856544280247282,0.052177865937479
7,SI-STS,r,186,dyad,com_ind,ind,0.7478741032001139,0.8274303996656762,0.8056846010044425,-0.0180323495715474
7,SI-STS,r,186,face,face_first,face_noncom,0.8030885674081936,0.7465892027121216,0.802702594614378,-0.0278637095542204
7,TPJ,r,300,dyad,com_ind,ind,0.8747815219735949,0.9209442623562134,0.9103118221430642,-0.01244892997816
7,TPJ,r,300,face,face_first,face_noncom,0.5030055656960633,0.7595223997667604,0.7678437989607979,-0.1365798162293861
7,fSTS,r,86,dyad,com_ind,ind,0.9833282964656592,0.9330777862576018,0.956455684758082,0.0017473566035485
7,fSTS,r,86,face,face_first,face_noncom,0.9532158294064026,0.9793315781299192,0.960007971317158,0.006265732451003
7,FFA,r,107,dyad,com_ind,ind,0.9305178551248762,0.9622415367067488,0.9468574429195158,-0.0004777470037032
7,FFA,r,107,face,face_first,face_noncom,0.9378337065536284,0.9746731395379008,0.9177653750388428,0.0384880480069217
7,EBA,r,138,dyad,com_ind,ind,0.9579378891533772,0.9557015255170356,0.9566132408979792,0.0002064664372272
7,EBA,r,138,face,face_first,face_noncom,0.9708526660463606,0.9843675871548564,0.9414241583551368,0.0361859682454717
7,EVC,r,263,dyad,com_ind,ind,0.9478783387783024,0.940100551920218,0.9477032682863702,-0.0037138229371098
7,EVC,r,263,face,face_first,face_noncom,0.950758669989946,0.9388918588569426,0.9379987489910432,0.0068265154324009
7,MT,r,165,dyad,com_ind,ind,0.9585511318995212,0.9919373519393062,0.9729844223073976,0.002259819612016
7,MT,r,165,face,face_first,face_noncom,0.9692177530850145,0.9721749336454488,0.9240259500624788,0.0466703933027529
8,SI-STS,l,216,dyad,com_ind,ind,0.897184896564462,0.5846256885607509,0.6922112488568863,0.0486940437057201
8,SI-STS,l,216,face,face_first,face_noncom,0.9203434655353128,0.7238264503827805,0.6959923176052212,0.1260926403538254
8,TPJ,l,313,dyad,com_ind,ind,0.745403522693547,0.8944419914838284,0.7552860763289666,0.0646366807597211
8,TPJ,l,313,face,face_first,face_noncom,0.8018096641568684,0.8758620418650962,0.8285052077401398,0.0103306452708424
8,fSTS,l,23,dyad,com_ind,ind,0.9246387849787852,0.5928289197936578,0.7323706599870485,0.0263631923991729
8,fSTS,l,23,face,face_first,face_noncom,0.8989136099473406,0.3378969267737927,0.5920109085220666,0.0263943598385
8,FFA,l,106,dyad,com_ind,ind,0.9649431806844598,0.9819552380269344,0.9730836449380572,0.0003655644176401
8,FFA,l,106,face,face_first,face_noncom,0.9369220728821857,0.939947382856227,0.9065645065503818,0.0318702213188245
